Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Newtonbrook West,0,730,70,35,0,30,"1,270",20,100,"1,145",0,0,0,0,0,280,0,"9,190","1,825",0,0,"1,185",615,0,80,125,315,0,0,0,310,745,80,0,15,200,0,10,505,0,0,0,75,30,40,0,10,20,10,"4,495",50,490,145,40,45,10,225,85,85,135,870,355,"2,410",25,"1,190",40,"2,520",45,10,0,100,0,300,"1,255",0,100,65,15,130,0,50,395,10,0,10,"1,335",0,"1,295",0,15,40,0,45,0,0,45,0,50,0,200,10,0,0,10,10,0,140,10,30,45,510,10,35,0,10,50,20,50,0,50,10,55,10,0,15,0,95,0,0,0,55,55,0,15,10,415,80,0,0,10,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,160,10,0,0,0,30,0,105,10,20,0,60,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,140,15,115,"14,075","3,280",95,30,165,0,160,240,0,"1,935",0,60,215,0,35,25,0,15,0,35,10,0,0,45,60,30,115,10,0,85,0,85,"1,120",15,20,0,865,35,0,0,15,120,0,15,70,0,55,45,"9,735",10,0,"2,785","4,475",155,0,"2,275",15,0,10,0,90,10,0,150,10,0,20,25,15,0,0,10,15,0,0,0
Niagara,0,"4,630",500,340,10,165,"5,255",35,395,"4,860",0,20,0,25,30,"1,490",10,"19,725","10,955",0,0,"5,710","4,940",0,475,"1,225","2,440",0,0,0,"2,440","4,020",295,0,105,845,10,0,"2,885",0,120,0,905,190,210,70,215,260,50,"4,330",100,"1,365",85,175,25,65,360,120,220,0,"1,720",330,990,175,"1,145",20,"5,735",35,65,10,230,30,435,"2,575",0,90,145,0,190,0,110,795,50,10,10,400,20,335,0,20,55,25,90,10,0,20,35,40,55,575,10,0,0,10,10,0,285,30,190,105,"1,550",45,50,10,0,160,130,200,15,60,40,250,20,10,10,0,230,30,10,0,70,90,0,110,110,"1,590",200,0,0,0,10,10,0,10,0,0,10,0,20,0,10,0,0,0,0,110,10,0,10,0,0,0,20,0,335,10,0,0,0,230,0,80,10,0,0,560,10,0,0,0,0,65,145,0,50,0,20,0,35,0,45,145,20,0,0,0,0,0,50,515,50,465,"8,255","1,440",20,115,90,10,20,0,0,415,10,65,90,40,0,25,0,0,0,275,105,10,0,115,10,0,125,0,0,0,20,15,"2,420",45,35,0,"1,975",10,0,0,20,175,60,15,125,40,50,85,"4,540",0,30,"2,720",850,245,0,485,30,50,0,20,35,30,10,325,25,0,15,25,155,120,35,0,0,0,0,10
North Riverdale,0,"2,885",225,165,0,60,"2,475",30,375,"2,170",0,0,0,0,10,230,0,"8,695","5,930",0,0,"3,680","2,790",10,380,305,"1,095",0,0,0,"1,100","1,925",120,0,45,430,0,0,"1,380",0,85,0,375,115,55,35,90,105,10,"1,850",10,390,15,110,35,40,250,65,55,0,695,145,495,40,505,60,"1,750",10,0,0,35,45,655,625,0,60,15,0,70,0,40,175,30,0,0,305,0,280,0,0,45,0,20,20,10,25,0,0,25,150,10,0,0,15,10,0,100,10,25,10,300,25,15,0,0,20,25,10,10,0,0,120,0,0,20,0,20,0,0,0,15,10,0,15,20,225,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,60,0,15,0,0,40,0,0,10,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,75,20,70,"2,535",270,0,15,55,0,0,0,0,90,0,0,10,0,0,0,0,0,0,45,0,0,0,30,0,0,50,0,0,0,0,0,495,15,0,0,340,25,10,0,10,55,25,0,35,30,0,25,"1,845",0,0,"1,385",170,180,0,50,0,0,0,0,10,0,25,100,0,0,0,0,90,50,35,10,0,10,0,0
North St.James Town,0,"1,425",265,205,10,55,"1,985",10,160,"1,875",0,10,0,0,0,200,0,"5,990","3,365",0,0,"1,815","1,475",0,145,370,895,0,0,0,895,"1,185",30,0,25,350,0,0,790,0,40,0,200,40,45,25,45,45,20,"1,305",40,715,20,50,0,20,130,10,30,0,385,110,375,30,340,10,"1,290",25,0,0,75,0,115,420,0,10,10,0,145,0,30,440,10,0,10,125,0,70,10,0,45,10,20,0,10,40,35,0,0,300,0,10,0,0,0,0,125,25,95,45,670,35,25,0,0,105,20,105,0,10,10,75,0,0,15,10,100,10,10,0,25,35,0,65,25,"1,875",160,0,10,0,0,25,0,60,0,0,0,0,35,0,0,0,0,0,0,40,0,0,0,0,0,10,0,0,165,10,0,0,0,65,20,20,30,0,0,"1,280",0,30,0,20,0,280,630,0,20,0,10,0,40,0,205,20,0,0,15,0,25,0,50,275,50,225,"9,355","1,005",60,135,30,0,0,10,0,360,0,30,25,15,10,10,0,0,0,75,40,0,10,35,0,10,100,10,0,0,25,85,"3,800",135,100,25,"1,700",0,0,0,580,245,25,0,550,35,320,360,"4,655",0,35,"1,115","2,910",105,0,330,0,10,40,0,30,15,80,180,30,0,25,25,20,0,10,10,0,0,0,0
Oakridge,0,670,290,260,10,30,"1,660",10,65,"1,585",0,0,10,0,0,145,0,"3,145","1,860",0,0,955,775,0,60,205,460,0,0,0,460,405,45,0,10,95,0,0,280,0,10,10,85,0,20,10,10,35,10,410,25,925,10,35,0,20,60,0,0,0,135,15,65,20,80,10,980,50,10,0,25,10,215,315,15,20,20,10,20,10,10,190,10,0,25,40,0,10,0,0,35,0,55,25,0,10,35,10,10,480,0,0,0,0,20,0,135,75,130,45,370,10,10,0,15,25,15,0,10,10,0,205,0,0,0,0,35,20,0,0,0,10,0,0,0,"1,820",255,0,0,0,0,10,0,95,0,0,0,0,30,0,0,0,0,0,0,90,0,0,0,0,0,0,40,0,125,0,0,0,0,35,15,0,65,0,0,"1,075",0,10,0,20,0,290,515,60,0,0,0,10,15,0,130,10,30,10,10,0,0,0,75,380,25,345,"7,305",890,515,65,20,0,10,0,0,105,0,35,10,0,0,25,0,15,0,45,0,0,0,10,15,0,10,0,0,25,10,0,"4,750","1,900",790,0,"1,145",0,0,10,30,280,0,0,230,0,100,555,"1,655",0,0,825,700,50,0,45,10,10,0,0,10,10,0,55,45,0,140,140,25,10,0,10,10,0,0,10
Oakwood Village,0,"1,550",300,240,0,55,"2,695",30,240,"2,495",0,10,0,0,0,"2,415",0,"12,695","3,940",0,0,"2,155","1,760",0,205,425,945,0,0,0,945,"1,285",135,0,60,280,0,0,850,0,45,0,255,45,80,0,50,70,30,"2,155",20,"2,155",55,70,10,20,305,10,75,0,965,150,635,30,380,125,"7,255",105,0,0,75,10,810,"3,145",0,20,100,0,60,10,35,765,20,10,10,525,10,435,10,10,55,20,110,0,25,160,65,200,0,"1,040",0,0,0,25,40,10,210,65,245,125,"1,585",115,45,0,30,155,60,155,40,190,55,115,90,25,45,0,240,0,10,10,120,95,10,85,45,"1,375",190,0,0,30,0,10,0,0,0,0,0,0,80,0,15,0,0,10,25,40,0,0,0,0,0,0,45,0,140,0,0,0,0,85,0,35,0,20,0,480,0,0,0,0,0,165,205,0,40,0,0,15,10,0,10,30,0,10,0,0,10,0,10,565,135,435,"5,020",530,40,0,0,10,0,0,0,80,0,55,65,10,0,15,0,0,0,95,30,0,0,20,0,0,165,0,0,0,0,20,800,0,10,0,685,0,10,0,0,30,10,10,65,10,15,20,"3,770",0,20,"1,140","1,985",140,0,135,0,15,40,0,10,30,15,395,0,0,0,0,80,60,15,20,0,0,0,0
O'Connor-Parkview,0,"2,430",630,540,0,85,"3,545",15,140,"3,365",0,60,10,0,10,390,0,"11,280","5,420",0,0,"2,740","2,480",0,270,430,"1,110",0,0,0,"1,110","1,355",60,0,40,320,0,10,955,0,45,0,250,45,90,15,20,85,20,"1,730",60,"1,300",10,70,0,65,495,30,40,10,305,120,295,85,380,0,"4,695",180,30,0,115,20,"2,160","1,080",0,360,20,10,155,40,20,465,30,0,25,120,10,80,0,0,40,10,110,10,15,20,35,95,10,630,40,0,0,10,25,10,215,65,185,35,625,25,0,0,20,45,40,60,10,50,20,240,0,0,0,0,45,35,10,0,30,30,15,10,40,885,250,0,0,0,0,45,0,55,0,0,0,0,40,15,0,0,0,0,0,45,0,15,0,0,0,10,30,0,100,10,10,0,10,20,0,40,10,0,0,270,0,0,0,0,0,20,90,0,10,0,0,15,10,0,40,10,10,15,10,0,0,10,30,300,65,245,"4,910",815,355,40,15,0,10,0,25,120,0,0,0,10,0,0,0,0,0,35,30,10,10,20,25,0,95,0,0,0,15,35,"1,775",195,45,0,790,0,20,0,10,310,35,10,170,0,70,180,"2,350",0,10,880,"1,190",175,0,110,0,10,10,0,0,10,0,75,30,0,80,75,35,25,10,0,0,0,0,0
Old East York,0,"1,440",190,165,0,35,"1,720",10,85,"1,640",0,25,0,0,0,165,0,"6,665","3,415",10,0,"1,860","1,660",0,155,270,685,0,0,0,680,880,105,0,20,165,0,0,625,0,50,0,190,40,50,20,25,75,10,740,55,395,0,35,0,10,80,20,20,0,260,30,90,20,220,15,"2,945",80,10,0,35,25,"1,555",655,0,120,25,10,165,0,20,225,30,0,0,50,0,35,0,10,10,10,0,15,10,25,0,10,10,150,0,0,10,0,0,10,130,10,40,10,245,0,10,0,10,20,0,65,0,10,0,55,10,0,0,0,15,0,0,0,10,0,0,20,15,130,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,10,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,60,20,50,"2,085",205,35,10,10,0,0,0,0,70,0,0,0,0,0,10,0,0,0,45,0,0,0,0,0,0,30,0,0,0,0,0,370,10,10,0,205,0,0,0,0,65,0,0,30,20,20,55,"1,515",35,0,840,465,70,0,50,0,15,0,20,0,15,0,125,0,0,0,10,15,15,0,0,0,0,0,0
Palmerston-Little Italy,0,"2,535",360,250,10,100,"2,680",25,310,"2,415",0,0,0,0,20,"1,380",0,"10,720","5,585",0,0,"3,100","2,730",10,290,510,"1,240",0,0,0,"1,230","1,955",95,0,75,420,35,0,"1,420",0,95,0,535,135,95,75,115,145,20,"2,190",10,335,25,90,10,10,205,50,95,0,"1,080",170,505,45,525,90,"3,615",0,0,0,70,0,245,"1,620",0,45,25,0,50,10,40,295,40,0,0,470,20,425,0,10,20,0,50,0,0,10,0,0,10,135,0,0,0,0,0,10,50,0,40,30,540,40,25,0,10,95,60,45,0,30,25,90,10,0,10,0,65,0,0,0,10,45,0,0,30,315,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,35,0,15,0,0,0,135,0,0,0,0,0,10,25,0,0,0,0,0,0,0,10,55,0,0,10,0,10,0,15,115,35,95,"2,505",295,0,35,10,10,0,10,0,65,0,30,50,0,0,0,0,0,10,35,20,0,0,0,0,0,45,0,0,0,10,0,455,20,0,0,380,0,0,0,10,30,0,0,10,20,0,25,"1,820",15,0,"1,260",145,155,0,195,0,25,0,0,0,25,0,65,0,0,0,0,70,50,20,0,0,0,0,0
Parkwoods-Donalda,0,"3,235",590,420,0,165,"4,525",35,300,"4,205",0,45,0,10,20,655,0,"15,140","7,305",10,0,"3,965","3,090",10,315,565,"1,500",0,0,0,"1,490","2,355",170,0,75,575,0,0,"1,730",0,70,0,395,80,155,30,65,90,0,"3,795",255,"2,710",10,70,20,80,575,80,70,10,880,995,540,115,655,20,"4,385",155,30,0,90,35,"1,085","1,300",0,135,140,0,320,10,45,735,60,10,30,290,0,240,10,0,85,25,200,20,10,95,10,125,30,"1,620",20,10,0,0,40,15,330,90,375,145,"1,580",85,35,0,0,70,40,410,15,35,30,430,45,0,10,0,130,45,15,0,45,10,30,60,90,"2,600",385,0,0,0,0,110,0,60,0,0,0,0,45,0,10,15,0,0,0,90,0,15,30,0,0,35,10,45,735,35,10,10,0,475,40,55,100,10,0,685,0,20,10,40,0,10,90,0,45,0,0,0,40,0,245,75,10,10,0,25,75,0,90,900,130,785,"14,610","4,205",665,325,765,10,15,0,0,"1,035",0,130,35,135,0,100,0,0,0,445,385,15,0,240,25,10,175,0,25,25,45,55,"3,685",310,165,0,"2,165",20,0,0,0,520,25,30,425,85,150,250,"6,925",10,0,"3,475","2,515",300,0,635,0,10,10,0,70,25,0,170,30,10,20,20,65,40,30,10,0,0,0,0
Pelmo Park-Humberlea,0,525,105,65,0,45,"1,090",10,0,"1,085",0,0,0,0,10,925,0,"5,965","1,255",0,0,745,385,0,25,65,290,0,0,0,290,310,10,0,0,45,0,0,270,0,10,0,40,20,0,0,15,0,0,570,15,855,20,60,0,0,55,0,25,0,260,70,105,20,105,0,"4,345",105,0,0,40,0,215,"2,855",0,25,25,0,45,0,40,290,30,0,10,40,0,15,0,0,20,0,50,0,10,30,25,35,15,560,0,0,0,10,15,0,70,35,75,20,860,0,80,0,25,50,15,45,10,210,65,80,0,10,0,0,90,0,0,0,10,165,15,30,30,500,225,0,0,0,0,0,0,0,0,0,0,0,140,0,15,15,0,0,0,35,0,0,0,0,20,0,20,0,0,0,0,0,0,10,0,0,0,0,0,150,0,0,15,0,0,0,10,0,0,0,0,15,0,0,65,35,0,0,0,0,0,0,0,110,25,95,"2,640",265,30,35,0,0,0,0,0,10,0,30,10,0,0,10,0,0,0,30,0,0,0,30,0,0,65,0,0,0,0,35,765,25,20,0,410,10,0,0,0,105,25,0,160,0,70,35,"1,630",10,25,445,520,25,0,35,0,10,0,10,0,0,0,785,0,0,0,10,10,0,0,0,0,0,0,0
Playter Estates-Danforth,0,"1,970",145,125,0,20,"1,530",30,145,"1,425",0,10,0,0,10,65,0,"6,190","4,035",10,0,"2,320","1,780",25,360,315,770,0,0,0,765,"1,310",115,0,40,315,10,10,915,0,45,0,405,75,65,35,85,135,25,"1,095",20,165,15,35,0,40,140,20,45,0,380,70,295,0,325,10,"1,445",35,10,0,65,0,735,370,0,35,15,0,50,10,10,155,0,0,0,215,15,180,0,0,10,0,10,0,0,0,0,0,0,80,0,0,0,0,0,0,45,15,10,10,170,15,0,0,0,10,25,10,0,0,10,15,0,0,0,0,35,0,0,0,0,0,0,30,15,190,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,10,0,10,0,20,0,0,0,0,0,95,10,0,0,0,0,10,15,0,0,0,0,0,0,0,10,30,10,0,0,0,20,0,0,50,0,45,"1,280",125,0,10,0,0,0,0,0,25,0,10,0,10,0,0,0,0,0,25,10,0,0,10,0,0,40,0,0,0,0,0,275,0,0,0,245,10,0,0,0,20,0,0,0,10,0,10,895,0,0,550,85,145,0,50,0,0,10,0,0,0,20,45,0,0,0,0,15,15,0,10,10,0,0,0
Pleasant View,0,745,85,55,0,25,"1,100",0,60,"1,040",0,0,0,0,0,205,0,"5,460","1,540",0,0,800,595,0,65,130,330,0,0,0,330,530,25,0,0,85,0,0,400,0,15,0,50,0,20,20,20,0,0,725,35,570,0,10,0,0,155,0,0,10,180,155,190,45,135,0,"3,190",10,0,0,25,45,"1,265","1,220",0,295,10,0,100,0,80,170,75,0,20,70,0,70,0,0,10,0,20,0,0,10,0,25,0,320,0,0,0,0,0,0,125,30,45,45,310,0,15,0,0,0,0,35,0,35,0,100,10,0,10,0,15,0,0,0,15,65,10,15,10,550,110,0,0,0,0,45,0,0,0,0,0,0,15,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,215,25,0,10,0,175,25,0,10,0,25,80,0,0,0,0,0,0,15,0,0,0,0,0,0,0,35,25,10,0,15,0,0,0,0,165,40,130,"9,515","1,280",65,90,270,0,10,0,0,470,0,75,0,0,0,35,0,0,0,95,30,0,0,115,0,10,105,0,0,10,0,10,"1,330",10,10,0,905,10,20,0,0,110,20,35,160,55,55,45,"6,950",0,20,"5,795",685,135,0,265,0,10,20,0,85,15,0,65,20,0,25,25,30,15,0,10,0,0,0,0
Princess-Rosethorn,0,"1,535",80,60,0,30,"1,730",0,190,"1,580",0,10,0,0,0,525,0,"8,565","3,820",0,0,"2,380","1,655",0,220,255,480,0,0,0,480,"1,130",160,0,0,200,0,0,780,0,55,0,205,45,45,10,65,20,20,"2,320",0,165,0,20,55,0,165,70,85,20,970,185,210,45,805,0,"3,350",155,40,0,160,0,245,"1,960",0,70,75,35,220,0,70,120,50,0,0,100,0,70,0,0,20,0,20,0,10,25,0,0,0,75,10,0,0,0,0,0,40,0,10,10,290,0,15,0,0,35,15,55,0,20,0,20,0,0,0,0,60,0,0,0,55,10,10,15,0,205,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,115,0,0,0,0,0,0,0,0,0,10,15,0,0,0,45,60,0,0,0,0,0,0,0,60,0,45,"1,950",295,45,10,20,0,0,0,0,60,0,0,15,0,0,0,0,0,0,50,0,0,0,15,0,0,25,0,0,0,0,20,615,0,0,0,440,10,0,0,0,75,20,0,80,25,10,20,"1,040",0,0,545,90,75,0,235,0,10,0,0,25,0,0,85,10,0,10,10,55,60,0,0,0,0,0,0
Regent Park,0,705,240,165,0,95,"1,450",10,95,"1,380",0,0,0,0,0,160,0,"3,015","1,850",0,0,875,935,0,75,150,525,0,0,0,525,555,20,0,25,125,0,0,400,0,20,0,150,30,45,10,20,35,15,580,35,505,0,30,10,0,45,0,15,0,200,35,90,30,200,20,740,10,0,0,10,0,85,290,0,10,20,0,0,0,0,185,10,0,10,120,0,75,10,0,25,0,55,0,0,10,0,10,20,260,15,0,0,0,10,0,80,15,50,40,415,20,0,0,0,10,45,60,0,55,0,110,0,0,10,15,25,0,10,0,30,25,0,10,25,"1,275",230,0,45,0,0,0,20,55,0,0,0,0,20,20,0,10,0,0,0,25,0,10,0,0,0,0,30,0,175,15,0,0,0,55,10,50,50,0,0,650,0,0,0,0,0,75,185,0,45,0,0,0,15,0,290,0,35,0,0,0,0,0,10,255,35,225,"5,585",495,70,85,35,0,10,0,0,120,0,40,20,0,0,0,0,0,0,50,0,0,10,25,0,0,20,0,0,0,45,20,"2,780",810,455,0,760,0,0,0,10,345,10,0,475,15,150,150,"2,345",0,20,"1,530",305,55,0,75,0,35,15,0,15,35,10,445,0,0,10,10,25,20,0,10,10,0,0,0
Rexdale-Kipling,0,900,105,95,0,10,"1,310",10,40,"1,260",0,15,0,0,15,295,0,"5,115","2,020",0,0,"1,120",855,0,55,175,330,0,0,0,330,640,20,0,20,175,0,0,460,0,30,0,110,0,35,0,50,10,0,725,25,"1,125",0,10,10,10,85,10,0,0,265,85,75,10,260,0,"2,410",65,45,0,315,0,140,"1,135",0,10,60,0,65,0,30,415,10,0,10,75,0,55,0,0,25,10,40,0,0,25,100,40,0,585,0,0,0,0,15,0,125,35,170,20,830,60,60,0,10,0,110,45,0,90,30,60,10,0,10,0,110,75,10,0,30,215,25,0,20,790,195,0,0,15,0,15,0,30,0,0,0,0,45,0,0,0,0,0,0,80,0,0,0,10,0,0,15,0,65,0,0,0,0,30,0,40,0,0,0,225,0,0,0,0,0,25,30,0,0,0,15,0,0,0,115,10,0,0,20,0,0,0,0,300,10,290,"2,925",475,145,40,0,40,0,0,0,40,0,50,0,10,0,0,0,0,0,25,10,0,0,10,10,0,80,0,0,0,0,50,"1,440",35,0,0,"1,015",25,0,0,25,250,0,0,80,20,45,115,"1,045",0,10,335,575,35,0,20,0,0,0,0,15,0,0,140,15,0,0,0,10,20,10,0,0,0,0,0
Rockcliffe-Smythe,0,"1,255",400,355,0,65,"2,220",10,135,"2,100",0,10,10,10,0,"4,335",0,"12,080","3,295",0,0,"1,910","1,380",10,100,270,730,0,0,10,730,"1,015",30,0,30,270,0,0,730,0,20,0,170,55,20,0,60,45,10,"1,665",30,"2,150",20,55,10,40,225,15,55,0,700,70,155,35,475,0,"7,435",130,30,0,165,0,335,"1,560",0,35,345,0,90,0,40,655,35,0,0,100,10,35,0,10,50,10,105,0,30,95,120,195,15,"1,155",15,10,0,0,30,0,160,85,180,45,"2,635",75,75,0,10,300,60,50,55,490,165,290,55,40,25,0,275,15,20,0,210,490,10,40,65,"1,870",300,20,60,0,0,0,0,10,0,0,0,20,110,0,15,0,0,0,0,55,0,0,15,10,0,0,10,0,100,20,0,0,0,40,0,20,30,0,0,"1,045",0,0,0,0,0,105,225,0,10,0,0,0,10,0,575,30,30,30,0,0,10,0,85,435,40,400,"4,510",410,55,25,15,10,0,0,0,55,0,15,10,25,0,0,35,0,0,15,20,0,0,20,0,0,120,0,0,0,10,20,"1,155",20,60,0,780,10,0,0,50,155,0,0,40,0,10,35,"3,005",15,70,825,855,110,0,65,0,0,0,0,0,0,80,"1,240",0,0,10,10,10,20,0,0,0,0,0,0
Roncesvalles,0,"2,935",330,250,10,105,"2,975",30,235,"2,765",0,10,0,10,10,770,20,"10,930","6,490",15,0,"3,455","3,215",15,395,625,"1,460",0,0,0,"1,450","1,960",180,0,45,420,0,0,"1,375",0,115,0,505,100,95,30,135,190,35,"3,100",45,585,45,155,40,25,480,50,145,10,"1,365",105,425,50,740,35,"2,495",20,0,0,145,0,225,965,0,50,50,10,135,10,45,235,35,0,0,280,0,225,35,10,20,10,75,0,20,40,0,40,20,250,10,0,0,10,15,0,90,0,55,20,505,30,45,10,0,35,20,80,0,20,10,140,0,0,10,0,75,0,0,0,30,35,25,10,10,535,150,0,0,0,0,0,0,10,0,0,0,35,20,10,0,0,0,0,50,30,0,0,0,0,0,0,10,0,80,0,0,0,0,65,10,0,0,0,0,140,0,0,0,0,0,55,15,0,10,0,10,0,0,0,10,40,15,0,10,0,0,0,0,155,60,100,"2,870",285,0,40,45,0,0,0,0,40,0,0,20,0,0,0,0,0,0,65,30,0,0,10,0,0,30,0,0,0,10,10,800,25,10,10,465,10,0,15,25,40,30,0,170,20,15,45,"1,840",25,0,715,315,95,0,75,0,30,20,0,20,0,380,300,10,0,0,10,100,80,15,0,0,0,0,0
Rosedale-Moore Park,0,"5,060",270,170,0,110,"4,475",10,690,"4,045",0,0,0,0,10,345,0,"16,140","10,855",0,0,"6,280","4,785",10,405,920,"1,900",0,0,0,"1,910","2,995",270,0,125,615,10,0,"2,065",10,85,0,795,225,120,55,200,180,65,"3,490",60,355,50,185,20,80,410,40,100,0,"1,260",250,910,90,715,105,"2,425",50,10,0,85,10,290,"1,070",0,85,45,15,130,10,55,395,10,0,0,510,10,395,10,0,110,0,45,15,0,45,0,10,0,150,10,0,10,0,0,0,45,10,15,10,515,10,30,10,15,70,10,115,10,10,20,45,10,0,10,0,95,0,10,0,30,15,0,45,35,580,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,155,20,10,0,0,90,20,35,0,0,10,310,0,0,0,0,0,30,75,0,40,0,0,0,0,0,20,140,0,0,0,0,10,0,0,95,10,95,"3,485",835,0,65,95,0,10,50,0,300,0,10,55,0,0,10,0,0,0,130,45,0,0,35,0,0,105,0,0,0,0,20,685,45,10,0,515,10,0,0,0,55,10,10,35,30,20,0,"2,025",0,0,"1,300",220,160,0,305,0,25,0,0,10,10,10,10,0,0,10,0,75,50,30,0,0,0,0,0
